ID,Code,Name,Coordinates,Description,Zone ID,URL,Location Type,Parent Station ID,Timezone,Wheelchair Boarding
2077,,Cataraqui Centre Transfer Point Platform 1,"44.25508, -76.57215",,,,,,,0
842,,O'Connor Drive (east side of Gardiners),"44.25971, -76.56851",,,,,,,0
841,,Norris Court (east side of Gardiners),"44.26311, -76.56862",,,,,,,0
848,,640 Cataraqui Woods Drive (south side),"44.26693, -76.56721",,,,,,,0
856,,1341 Crossfield Avenue (south side),"44.2643, -76.55471",,,,,,,0
6,,Sheridan Street (west side of Andersen),"44.2604, -76.54911",,,,,,,0
583,,Muirfield Crescent (north side of Davis),"44.25629, -76.56161",,,,,,,0
582,,649 Davis Drive (west side),"44.25414, -76.56696",,,,,,,0
593,,Whistler Terrace (south side of Davis),"44.25226, -76.56198",,,,,,,0
595,,Bexley Gate (south side of Davis),"44.25169, -76.56061",,,,,,,0
697,,Littlestone Crescent (south side of Davis),"44.25156, -76.55788",,,,,,,0
404,,Gardiners Road (north side of Taylor-Kidd),"44.25079, -76.56795",,,,,,,0
619,,780 Old Colony Road (east side),"44.25062, -76.57529",,,,,,,0
97,,Norwest Road (west side of Midland),"44.25709, -76.57422",,,,,,,0
2078,,Cataraqui Centre Transfer Point Platform 2,"44.25499, -76.57238",,,,,,,0
503,,Kingston Centre Transfer Point Platform 6,"44.24181, -76.51679",,,,,,,0
1017,,277 Bath Road (north side),"44.23993, -76.52598",,,,,,,0
504,,Polson Park School (south side of Robert Wallace),"44.23475, -76.52955",,,,,,,0
497,,Ross Street (west side of Robert Wallace),"44.23346, -76.52777",,,,,,,0
2068,,Mowat Avenue (south side of King),"44.22062, -76.52071",,,,,,,0
415,,Livingston Avenue (south side of King),"44.22134, -76.50893",,,,,,,0
417,,The Isabel/Tett Centres (south side of King),"44.2215, -76.5067",,,,,,,0
423,,Albert Street (south side of King),"44.22245, -76.49956",,,,,,,0
324,,George Street (south side of King),"44.22262, -76.49132",,,,,,,0
311,,Earl Street (east side of Ontario),"44.22669, -76.4829",,,,,,,0
305,,City Hall (north side of Brock),"44.23036, -76.48036",,,,,,,0
422,,Albert Street (north side of King),"44.22255, -76.49975",,,,,,,0
421,,Beverley Street (north side of King),"44.22225, -76.50203",,,,,,,0
412,,Sir John A Macdonald Blvd (north side of King),"44.22124, -76.5123",,,,,,,0
55,,Mowat Avenue (north side of Union),"44.22109, -76.51978",,,,,,,0
465,,KFL&A Health Unit (east side of Portsmouth),"44.227, -76.52569",,,,,,,0
496,,Strachan Avenue (east side of Robert Wallace),"44.2332, -76.52749",,,,,,,0
2062,,Grenville Road (south side of Bath),"44.23887, -76.53349",,,,,,,0
2060,,290 Bath Road (south side),"44.23969, -76.52594",,,,,,,0
2008,,Lafleur Park (south side of Bath),"44.23998, -76.52333",,,,,,,0
523,,Trailhead Place (north side of King),"44.22012, -76.53841",,,,,,,0
524,,Invista (north side of Front),"44.21899, -76.55979",,,,,,,0
536,,Bishop Street (north side of Front),"44.2186, -76.56712",,,,,,,0
716,,Hyde Street (east side of Lakeview),"44.22288, -76.57196",,,,,,,0
551,,278 Lakeview Avenue (east side),"44.22548, -76.57216",,,,,,,0
557,,Castell Road (east side of McEwen),"44.23541, -76.57427",,,,,,,0
612,,Development Drive (east side of Gardiners),"44.24164, -76.56761",,,,,,,0
614,,660 Progress Avenue (north side),"44.24668, -76.56929",,,,,,,0
39,,Taylor-Kidd Boulevard (east side of Progress),"44.24791, -76.57802",,,,,,,0
692,,Milford Drive (north side of Taylor-Kidd),"44.24808, -76.58078",,,,,,,0
662,,Old Colony Road (east side of Bayridge),"44.25521, -76.58668",,,,,,,0
740,,2697 Princess Street (south side),"44.2586, -76.57696",,,,,,,0
642,,Woodbine Road (west side of Bayridge),"44.25777, -76.58431",,,,,,,0
90,,Old Colony Road (west side of Bayridge),"44.25535, -76.58682",,,,,,,0
2004,,Bayridge Centre (west side of Bayridge),"44.25182, -76.58917",,,,,,,0
9054,,Bayridge Drive (south side of Taylor-Kidd),"44.25009, -76.58895",,,,,,,0
100,,Milford Drive (south side of Taylor-Kidd),"44.24787, -76.58076",,,,,,,0
40,,775 Progress Avenue (south side),"44.24758, -76.57783",,,,,,,0
556,,Castell Road (west side of McEwen),"44.2356, -76.57446",,,,,,,0
718,,McEwen Drive (west side of Lakeview),"44.22401, -76.57219",,,,,,,0
754,,Hyde Street (west side of Lakeview),"44.22288, -76.57207",,,,,,,0
547,,Evelyn Street (west side of Lakeview),"44.22143, -76.57196",,,,,,,0
9037,,Centre 70 Park and Ride (west side of Days),"44.21891, -76.56943",,,,,,,0
537,,Bishop Street (south side of Front),"44.21842, -76.56733",,,,,,,0
534,,Sunny Acres Road (south side of Front),"44.21853, -76.56521",,,,,,,0
2072,,1000 King Street West (south side),"44.21986, -76.53522",,,,,,,0
