ID,Name,LongLat
799,Norwest Road (east side of Midland),"44.25722, -76.57395"
850,Centennial Drive (south side of Cataraqui Woods),"44.26926, -76.55933"
9075,Crossfield Avenue (west side of Andersen),"44.26475, -76.54892"
858,Chadwick Parkette (west side of Andersen),"44.26208, -76.54846"
407,Vanguard Court (east side of Waterloo),"44.25257, -76.54781"
586,Centennial Drive (north side of Davis),"44.25628, -76.55977"
591,Bigham Court (south side of Davis),"44.25288, -76.5642"
50,Trillium Ridge (west side of Edgar),"44.25049, -76.55295"
98,Bexley Gate (north side of Taylor-Kidd),"44.25125, -76.5613"
815,RioCan Centre (north side of Taylor-Kidd),"44.25096, -76.56476"
618,Blackburn Mews (north side of Taylor-Kidd),"44.2507, -76.57043"
94,Kimberley Street (east side of Old Colony),"44.252, -76.57695"
96,Ridley Drive (east side of Old Colony),"44.25383, -76.57724"
635,Sutton Mills Court (east side of Ridley),"44.25557, -76.57585"
736,Norwest Road (east side of Ridley),"44.2571, -76.57689"
111,257 Bath Road (north side),"44.24018, -76.52331"
509,Grenville Road (north side of Bath),"44.23913, -76.53313"
2063,258 Queen Mary Road (west side),"44.23777, -76.53599"
507,Queen Mary Road (south side of Robert Wallace),"44.23442, -76.53287"
467,Curtis Crescent (west side of Portsmouth),"44.227, -76.52586"
309,Johnson Street (east side of Ontario),"44.22851, -76.4812"
2037,Downtown Transfer Point Platform 3,"44.23107, -76.48491"
312,Gore Street (west side of Ontario),"44.22594, -76.48382"
323,George Street (north side of King),"44.22275, -76.49131"
414,Alwington Avenue (north side of King),"44.22139, -76.51031"
458,McDonald Avenue (north side of King),"44.22065, -76.52246"
459,Portsmouth Avenue (north side of King),"44.22055, -76.52471"
460,Baiden Street (east side of Portsmouth),"44.22158, -76.52514"
490,Portsmouth Avenue (north side of Johnson),"44.23014, -76.52666"
505,Polson Park School (north side of Robert Wallace),"44.23486, -76.52955"
2064,Notch Hill Road (east side of Queen Mary),"44.23726, -76.53553"
521,Country Club Drive (north side of King),"44.22032, -76.52983"
9043,Reddendale Plaza (north side of Front),"44.21842, -76.57048"
546,Evelyn Street (east side of Lakeview),"44.22108, -76.5718"
549,Meadowcrest Road (east side of Lakeview),"44.22385, -76.57203"
555,Acron Street (east side of McEwen),"44.23163, -76.57391"
2074,Gardiners Centre Transfer Point,"44.23613, -76.56781"
2003,Bayridge Centre (east side of Bayridge),"44.25076, -76.58933"
641,Woodbine Road (east side of Bayridge),"44.25867, -76.58392"
9057,Princess Street (south side) east of Bayridge,"44.25925, -76.58129"
741,2698 Princess Street (north side),"44.25882, -76.57651"
739,Princess Street (north side) east of Bayridge,"44.25943, -76.581"
2002,Pembridge Crescent (south side of Taylor-Kidd),"44.249, -76.5854"
615,Gardiners Road (south side of Progress),"44.24654, -76.5684"
9208,RioCan Centre (west side of Gardiners),"44.24433, -76.56808"
9228,Development Drive (west side of Gardiners),"44.242, -76.56793"
2075,Gardiners Centre Transfer Point,"44.23581, -76.568"
558,Bath Road (west side of McEwen),"44.23699, -76.5746"
34,Trailhead Place (south side of King),"44.21991, -76.53797"
520,Lake Ontario Park (south side of King),"44.22008, -76.53028"
9053,Bayridge Centre (north side of Taylor-Kidd),"44.25074, -76.59046"
19,Sycamore Street (north side of Bath),"44.23601, -76.62092"
765,Fairfield Boulevard (north side of Amherst),"44.22628, -76.63909"
767,Pittsfield Street (north side of Amherst),"44.227, -76.6461"
775,Loyalist Plaza (south side of Manitou),"44.21945, -76.64555"
776,Sherwood Avenue (south side of Manitou),"44.22001, -76.64342"
797,282 Amherst Drive (north side),"44.22744, -76.65475"
868,Davey Crescent (south side of Kidd),"44.2175, -76.65904"
782,Kildare Avenue (east side of Kidd),"44.22228, -76.65514"
789,Fairfield Boulevard (south side of Amherst),"44.22606, -76.63933"
790,Henry Crescent (west side of Loyalist),"44.22595, -76.63616"
791,Addington Street (west side of Loyalist),"44.22314, -76.63604"
9048,Bath Road (east side of Collins Bay),"44.24184, -76.60993"
9062,Bayridge Secondary (south side of Taylor-Kidd),"44.25151, -76.59476"
685,Cranbrook Street (east side of Chelsea),"44.21927, -76.57406"
569,Henderson Boulevard (east side of Glen Castle),"44.22796, -76.57942"
565,420 Glen Castle Road (south side),"44.23165, -76.57918"
578,Sackville Crescent (east side of Acadia),"44.23311, -76.59808"
579,Citation Crescent (east side of Acadia),"44.23512, -76.5985"
562,Vista Drive (south side of Bath),"44.23715, -76.58266"
610,Gardiners Road (north side of Development),"44.24183, -76.56843"
598,McKay Street (north side of Development),"44.24126, -76.57713"
553,Truedell Road (north side of Development),"44.24084, -76.57968"
628,Hudson Drive (north side of Development),"44.24113, -76.58474"
4,Holgate Crescent (north side of Hudson),"44.24503, -76.59236"
600,High Gate Park Drive (north side of Hillside),"44.24739, -76.60452"
28,1386 Waverley Crescent (north side),"44.24418, -76.61685"
625,988 Mona Drive (east side),"44.25479, -76.60654"
604,Chancery Street (south side of Lancaster),"44.25623, -76.59444"
675,Bridle Path Crescent (north side of Lancaster),"44.25307, -76.59239"
601,Taylor-Kidd Boulevard (west side of Liston),"44.25175, -76.59451"
660,Bayridge Drive (south side of Old Colony),"44.255, -76.58598"
9230,Ridley Drive (west side of Old Colony),"44.25396, -76.57751"
649,Walmart (east side of Midland),"44.26488, -76.57402"
645,Birchwood Drive (north side of Sierra),"44.27206, -76.57829"
644,706 Cedarwood Drive (west side),"44.26494, -76.57747"
657,Princess Street (west side of Bayridge),"44.26064, -76.58338"
693,Cataraqui Woods Drive (east side of Cedarwood),"44.26696, -76.5783"
743,Peachwood Street (east side of Birchwood),"44.27016, -76.57842"
457,Sierra Avenue (east side of Birchwood),"44.27191, -76.57833"
639,938 Old Colony Road (north side),"44.255, -76.58168"
663,Strand Boulevard (south side of Lancaster),"44.25301, -76.59202"
664,Rowantree Crescent (east side of Lancaster),"44.25524, -76.58958"
667,Holy Cross Secondary (north side of Woodbine),"44.25847, -76.59739"
668,Katharine Crescent (north side of Woodbine),"44.25826, -76.60034"
676,Lynwood Drive (south side of Mona),"44.25323, -76.60467"
533,809 Aylmer Crescent (north side),"44.24957, -76.61191"
531,761 Aylmer Crescent (west side),"44.24804, -76.61457"
30,Coverdale Drive (west side of Walden),"44.2379, -76.59791"
408,Tanglewood Drive (east side of Roosevelt),"44.23188, -76.58851"
592,419 Glen Castle Road (north side),"44.23176, -76.57901"
594,Henderson Boulevard (west side of Glen Castle),"44.22827, -76.57957"
596,Chelsea Road (west side of Glen Castle),"44.22615, -76.5794"
